co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.1,cycle_co,True,100,0.1,tournament,20994,100
0.1,cycle_co,True,100,0.1,rank,18873,100
0.1,cycle_co,True,100,0.3,tournament,18873,100
0.1,cycle_co,True,100,0.3,rank,18873,100
0.1,cycle_co,True,100,0.5,tournament,18873,100
0.1,cycle_co,True,100,0.5,rank,18873,100
0.1,cycle_co,True,100,0.7,tournament,18873,100
0.1,cycle_co,True,100,0.7,rank,18873,100
0.1,cycle_co,True,100,0.9,tournament,18873,100
0.1,cycle_co,True,100,0.9,rank,18873,100
0.1,cycle_co,True,400,0.1,tournament,18873,100
0.1,cycle_co,True,400,0.1,rank,15101,100
0.1,cycle_co,True,400,0.3,tournament,15101,100
0.1,cycle_co,True,400,0.3,rank,15101,100
0.1,cycle_co,True,400,0.5,tournament,15101,100
0.1,cycle_co,True,400,0.5,rank,15101,100
0.1,cycle_co,True,400,0.7,tournament,15101,100
0.1,cycle_co,True,400,0.7,rank,15101,100
0.1,cycle_co,True,400,0.9,tournament,15101,100
0.1,cycle_co,True,400,0.9,rank,15101,100
0.1,cycle_co,True,700,0.1,tournament,15101,100
0.1,cycle_co,True,700,0.1,rank,14684,100
0.1,cycle_co,True,700,0.3,tournament,14684,100
0.1,cycle_co,True,700,0.3,rank,14684,100
0.1,cycle_co,True,700,0.5,tournament,14684,100
0.1,cycle_co,True,700,0.5,rank,14684,100
0.1,cycle_co,True,700,0.7,tournament,14684,100
0.1,cycle_co,True,700,0.7,rank,14684,100
0.1,cycle_co,True,700,0.9,tournament,14684,100
0.1,cycle_co,True,700,0.9,rank,14684,100
0.1,cycle_co,True,1000,0.1,tournament,14330,100
0.1,cycle_co,True,1000,0.1,rank,10884,100
0.1,cycle_co,True,1000,0.3,tournament,10884,100
0.1,cycle_co,True,1000,0.3,rank,10884,100
0.1,cycle_co,True,1000,0.5,tournament,10884,100
0.1,cycle_co,True,1000,0.5,rank,10884,100
0.1,cycle_co,True,1000,0.7,tournament,10884,100
0.1,cycle_co,True,1000,0.7,rank,10884,100
0.1,cycle_co,True,1000,0.9,tournament,10884,100
0.1,cycle_co,True,1000,0.9,rank,10884,100
0.1,cycle_co,False,100,0.1,tournament,22780,100
0.1,cycle_co,False,100,0.1,rank,17898,100
0.1,cycle_co,False,100,0.3,tournament,24203,100
0.1,cycle_co,False,100,0.3,rank,24386,100
0.1,cycle_co,False,100,0.5,tournament,26167,100
0.1,cycle_co,False,100,0.5,rank,24118,100
0.1,cycle_co,False,100,0.7,tournament,24250,100
0.1,cycle_co,False,100,0.7,rank,26145,100
0.1,cycle_co,False,100,0.9,tournament,24151,100
0.1,cycle_co,False,100,0.9,rank,25253,100
0.1,cycle_co,False,400,0.1,tournament,24996,100
0.1,cycle_co,False,400,0.1,rank,14249,100
0.1,cycle_co,False,400,0.3,tournament,24314,100
0.1,cycle_co,False,400,0.3,rank,22946,100
0.1,cycle_co,False,400,0.5,tournament,23182,100
0.1,cycle_co,False,400,0.5,rank,25778,100
0.1,cycle_co,False,400,0.7,tournament,25684,100
0.1,cycle_co,False,400,0.7,rank,25766,100
0.1,cycle_co,False,400,0.9,tournament,26010,100
0.1,cycle_co,False,400,0.9,rank,24704,100
0.1,cycle_co,False,700,0.1,tournament,22170,100
0.1,cycle_co,False,700,0.1,rank,15420,100
0.1,cycle_co,False,700,0.3,tournament,22901,100
0.1,cycle_co,False,700,0.3,rank,22221,100
0.1,cycle_co,False,700,0.5,tournament,25617,100
0.1,cycle_co,False,700,0.5,rank,26205,100
0.1,cycle_co,False,700,0.7,tournament,25846,100
0.1,cycle_co,False,700,0.7,rank,25536,100
0.1,cycle_co,False,700,0.9,tournament,26400,100
0.1,cycle_co,False,700,0.9,rank,26050,100
0.1,cycle_co,False,1000,0.1,tournament,22185,100
0.1,cycle_co,False,1000,0.1,rank,13450,100
0.1,cycle_co,False,1000,0.3,tournament,24318,100
0.1,cycle_co,False,1000,0.3,rank,23745,100
0.1,cycle_co,False,1000,0.5,tournament,28017,100
0.1,cycle_co,False,1000,0.5,rank,24810,100
0.1,cycle_co,False,1000,0.7,tournament,25296,100
0.1,cycle_co,False,1000,0.7,rank,25354,100
0.1,cycle_co,False,1000,0.9,tournament,25408,100
0.1,cycle_co,False,1000,0.9,rank,23817,100
0.1,pmx_co,True,100,0.1,tournament,19162,100
0.1,pmx_co,True,100,0.1,rank,15868,100
0.1,pmx_co,True,100,0.3,tournament,15868,100
0.1,pmx_co,True,100,0.3,rank,15868,100
0.1,pmx_co,True,100,0.5,tournament,15868,100
0.1,pmx_co,True,100,0.5,rank,15868,100
0.1,pmx_co,True,100,0.7,tournament,15868,100
0.1,pmx_co,True,100,0.7,rank,15868,100
0.1,pmx_co,True,100,0.9,tournament,15868,100
0.1,pmx_co,True,100,0.9,rank,15868,100
0.1,pmx_co,True,400,0.1,tournament,15868,100
0.1,pmx_co,True,400,0.1,rank,15868,100
0.1,pmx_co,True,400,0.3,tournament,15868,100
0.1,pmx_co,True,400,0.3,rank,15868,100
0.1,pmx_co,True,400,0.5,tournament,15868,100
0.1,pmx_co,True,400,0.5,rank,15868,100
0.1,pmx_co,True,400,0.7,tournament,15868,100
0.1,pmx_co,True,400,0.7,rank,15868,100
0.1,pmx_co,True,400,0.9,tournament,15868,100
