co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.1,cycle_co,True,100,0.1,tournament,25693,100
0.1,cycle_co,True,100,0.1,rank,23063,100
0.1,cycle_co,True,100,0.3,tournament,22928,100
0.1,cycle_co,True,100,0.3,rank,22928,100
0.1,cycle_co,True,100,0.5,tournament,22928,100
0.1,cycle_co,True,100,0.5,rank,22928,100
0.1,cycle_co,True,100,0.7,tournament,22928,100
0.1,cycle_co,True,100,0.7,rank,22928,100
0.1,cycle_co,True,100,0.9,tournament,22928,100
0.1,cycle_co,True,100,0.9,rank,22928,100
0.1,cycle_co,True,400,0.1,tournament,22928,100
0.1,cycle_co,True,400,0.1,rank,19112,100
0.1,cycle_co,True,400,0.3,tournament,19112,100
0.1,cycle_co,True,400,0.3,rank,19112,100
0.1,cycle_co,True,400,0.5,tournament,19112,100
0.1,cycle_co,True,400,0.5,rank,19112,100
0.1,cycle_co,True,400,0.7,tournament,19112,100
0.1,cycle_co,True,400,0.7,rank,19112,100
0.1,cycle_co,True,400,0.9,tournament,19112,100
0.1,cycle_co,True,400,0.9,rank,19112,100
0.1,cycle_co,True,700,0.1,tournament,19112,100
0.1,cycle_co,True,700,0.1,rank,15433,100
0.1,cycle_co,True,700,0.3,tournament,15424,100
0.1,cycle_co,True,700,0.3,rank,15424,100
0.1,cycle_co,True,700,0.5,tournament,15424,100
0.1,cycle_co,True,700,0.5,rank,15424,100
0.1,cycle_co,True,700,0.7,tournament,15424,100
0.1,cycle_co,True,700,0.7,rank,15424,100
0.1,cycle_co,True,700,0.9,tournament,15424,100
0.1,cycle_co,True,700,0.9,rank,15424,100
0.1,cycle_co,True,1000,0.1,tournament,15424,100
0.1,cycle_co,True,1000,0.1,rank,15424,100
0.1,cycle_co,True,1000,0.3,tournament,15424,100
0.1,cycle_co,True,1000,0.3,rank,15424,100
0.1,cycle_co,True,1000,0.5,tournament,15424,100
0.1,cycle_co,True,1000,0.5,rank,15424,100
0.1,cycle_co,True,1000,0.7,tournament,15424,100
0.1,cycle_co,True,1000,0.7,rank,15424,100
0.1,cycle_co,True,1000,0.9,tournament,15424,100
0.1,cycle_co,True,1000,0.9,rank,15424,100
0.1,cycle_co,False,100,0.1,tournament,25412,100
0.1,cycle_co,False,100,0.1,rank,23176,100
0.1,cycle_co,False,100,0.3,tournament,30701,100
0.1,cycle_co,False,100,0.3,rank,27077,100
0.1,cycle_co,False,100,0.5,tournament,32332,100
0.1,cycle_co,False,100,0.5,rank,27295,100
0.1,cycle_co,False,100,0.7,tournament,28810,100
0.1,cycle_co,False,100,0.7,rank,28828,100
0.1,cycle_co,False,100,0.9,tournament,30513,100
0.1,cycle_co,False,100,0.9,rank,30223,100
0.1,cycle_co,False,400,0.1,tournament,26996,100
0.1,cycle_co,False,400,0.1,rank,20565,100
0.1,cycle_co,False,400,0.3,tournament,29859,100
0.1,cycle_co,False,400,0.3,rank,24284,100
0.1,cycle_co,False,400,0.5,tournament,31977,100
0.1,cycle_co,False,400,0.5,rank,28865,100
0.1,cycle_co,False,400,0.7,tournament,32000,100
0.1,cycle_co,False,400,0.7,rank,29420,100
0.1,cycle_co,False,400,0.9,tournament,33842,100
0.1,cycle_co,False,400,0.9,rank,29053,100
0.1,cycle_co,False,700,0.1,tournament,26523,100
0.1,cycle_co,False,700,0.1,rank,18005,100
0.1,cycle_co,False,700,0.3,tournament,30723,100
0.1,cycle_co,False,700,0.3,rank,24609,100
0.1,cycle_co,False,700,0.5,tournament,30244,100
0.1,cycle_co,False,700,0.5,rank,26519,100
0.1,cycle_co,False,700,0.7,tournament,30809,100
0.1,cycle_co,False,700,0.7,rank,28770,100
0.1,cycle_co,False,700,0.9,tournament,32373,100
0.1,cycle_co,False,700,0.9,rank,29960,100
0.1,cycle_co,False,1000,0.1,tournament,28088,100
0.1,cycle_co,False,1000,0.1,rank,17077,100
0.1,cycle_co,False,1000,0.3,tournament,29138,100
0.1,cycle_co,False,1000,0.3,rank,24505,100
0.1,cycle_co,False,1000,0.5,tournament,29884,100
0.1,cycle_co,False,1000,0.5,rank,28356,100
0.1,cycle_co,False,1000,0.7,tournament,30415,100
0.1,cycle_co,False,1000,0.7,rank,29900,100
0.1,cycle_co,False,1000,0.9,tournament,32747,100
0.1,cycle_co,False,1000,0.9,rank,29427,100
0.1,pmx_co,True,100,0.1,tournament,25275,100
0.1,pmx_co,True,100,0.1,rank,22983,100
0.1,pmx_co,True,100,0.3,tournament,22974,100
0.1,pmx_co,True,100,0.3,rank,22974,100
0.1,pmx_co,True,100,0.5,tournament,22974,100
0.1,pmx_co,True,100,0.5,rank,22974,100
0.1,pmx_co,True,100,0.7,tournament,22974,100
0.1,pmx_co,True,100,0.7,rank,22974,100
0.1,pmx_co,True,100,0.9,tournament,22974,100
0.1,pmx_co,True,100,0.9,rank,22974,100
0.1,pmx_co,True,400,0.1,tournament,22974,100
0.1,pmx_co,True,400,0.1,rank,19378,100
0.1,pmx_co,True,400,0.3,tournament,19378,100
0.1,pmx_co,True,400,0.3,rank,19378,100
0.1,pmx_co,True,400,0.5,tournament,19378,100
0.1,pmx_co,True,400,0.5,rank,19378,100
0.1,pmx_co,True,400,0.7,tournament,19378,100
0.1,pmx_co,True,400,0.7,rank,19378,100
0.1,pmx_co,True,400,0.9,tournament,19378,100
0.1,pmx_co,True,400,0.9,rank,19378,100
0.1,pmx_co,True,700,0.1,tournament,19378,100
0.1,pmx_co,True,700,0.1,rank,16217,100
0.1,pmx_co,True,700,0.3,tournament,16196,100
0.1,pmx_co,True,700,0.3,rank,16196,100
0.1,pmx_co,True,700,0.5,tournament,16196,100
0.1,pmx_co,True,700,0.5,rank,16196,100
0.1,pmx_co,True,700,0.7,tournament,16196,100
0.1,pmx_co,True,700,0.7,rank,16196,100
0.1,pmx_co,True,700,0.9,tournament,16196,100
0.1,pmx_co,True,700,0.9,rank,16196,100
0.1,pmx_co,True,1000,0.1,tournament,16196,100
0.1,pmx_co,True,1000,0.1,rank,15576,100
0.1,pmx_co,True,1000,0.3,tournament,15576,100
0.1,pmx_co,True,1000,0.3,rank,15576,100
0.1,pmx_co,True,1000,0.5,tournament,15576,100
0.1,pmx_co,True,1000,0.5,rank,15576,100
0.1,pmx_co,True,1000,0.7,tournament,15576,100
0.1,pmx_co,True,1000,0.7,rank,15576,100
0.1,pmx_co,True,1000,0.9,tournament,15576,100
0.1,pmx_co,True,1000,0.9,rank,15576,100
0.1,pmx_co,False,100,0.1,tournament,27146,100
0.1,pmx_co,False,100,0.1,rank,24404,100
0.1,pmx_co,False,100,0.3,tournament,30912,100
0.1,pmx_co,False,100,0.3,rank,27620,100
0.1,pmx_co,False,100,0.5,tournament,29372,100
0.1,pmx_co,False,100,0.5,rank,29162,100
0.1,pmx_co,False,100,0.7,tournament,31790,100
0.1,pmx_co,False,100,0.7,rank,29587,100
0.1,pmx_co,False,100,0.9,tournament,33871,100
0.1,pmx_co,False,100,0.9,rank,30195,100
0.1,pmx_co,False,400,0.1,tournament,27546,100
0.1,pmx_co,False,400,0.1,rank,21231,100
0.1,pmx_co,False,400,0.3,tournament,30538,100
0.1,pmx_co,False,400,0.3,rank,27042,100
0.1,pmx_co,False,400,0.5,tournament,30267,100
0.1,pmx_co,False,400,0.5,rank,28903,100
0.1,pmx_co,False,400,0.7,tournament,30896,100
0.1,pmx_co,False,400,0.7,rank,29947,100
0.1,pmx_co,False,400,0.9,tournament,31148,100
0.1,pmx_co,False,400,0.9,rank,30412,100
0.1,pmx_co,False,700,0.1,tournament,26633,100
0.1,pmx_co,False,700,0.1,rank,19545,100
0.1,pmx_co,False,700,0.3,tournament,27680,100
0.1,pmx_co,False,700,0.3,rank,26479,100
0.1,pmx_co,False,700,0.5,tournament,31929,100
0.1,pmx_co,False,700,0.5,rank,28615,100
