co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.1,cycle_co,True,100,0.1,tournament,2295,100
0.1,cycle_co,True,100,0.1,rank,1976,100
0.1,cycle_co,True,100,0.3,tournament,1976,100
0.1,cycle_co,True,100,0.3,rank,1976,100
0.1,cycle_co,True,100,0.5,tournament,1976,100
0.1,cycle_co,True,100,0.5,rank,1976,100
0.1,cycle_co,True,100,0.7,tournament,1976,100
0.1,cycle_co,True,100,0.7,rank,1976,100
0.1,cycle_co,True,100,0.9,tournament,1957,100
0.1,cycle_co,True,100,0.9,rank,1957,100
0.1,cycle_co,True,400,0.1,tournament,1957,100
0.1,cycle_co,True,400,0.1,rank,1650,100
0.1,cycle_co,True,400,0.3,tournament,1650,100
0.1,cycle_co,True,400,0.3,rank,1650,100
0.1,cycle_co,True,400,0.5,tournament,1650,100
0.1,cycle_co,True,400,0.5,rank,1650,100
0.1,cycle_co,True,400,0.7,tournament,1650,100
0.1,cycle_co,True,400,0.7,rank,1650,100
0.1,cycle_co,True,400,0.9,tournament,1650,100
0.1,cycle_co,True,400,0.9,rank,1650,100
0.1,cycle_co,True,700,0.1,tournament,1650,100
0.1,cycle_co,True,700,0.1,rank,1298,100
0.1,cycle_co,True,700,0.3,tournament,1298,100
0.1,cycle_co,True,700,0.3,rank,1298,100
0.1,cycle_co,True,700,0.5,tournament,1298,100
0.1,cycle_co,True,700,0.5,rank,1298,100
0.1,cycle_co,True,700,0.7,tournament,1298,100
0.1,cycle_co,True,700,0.7,rank,1298,100
0.1,cycle_co,True,700,0.9,tournament,1298,100
0.1,cycle_co,True,700,0.9,rank,1298,100
0.1,cycle_co,True,1000,0.1,tournament,1298,100
0.1,cycle_co,True,1000,0.1,rank,1298,100
0.1,cycle_co,True,1000,0.3,tournament,1298,100
0.1,cycle_co,True,1000,0.3,rank,1298,100
0.1,cycle_co,True,1000,0.5,tournament,1298,100
0.1,cycle_co,True,1000,0.5,rank,1298,100
0.1,cycle_co,True,1000,0.7,tournament,1298,100
0.1,cycle_co,True,1000,0.7,rank,1298,100
0.1,cycle_co,True,1000,0.9,tournament,1298,100
0.1,cycle_co,True,1000,0.9,rank,1298,100
0.1,cycle_co,False,100,0.1,tournament,3161,100
0.1,cycle_co,False,100,0.1,rank,2271,100
0.1,cycle_co,False,100,0.3,tournament,3448,100
0.1,cycle_co,False,100,0.3,rank,2763,100
0.1,cycle_co,False,100,0.5,tournament,3107,100
0.1,cycle_co,False,100,0.5,rank,2808,100
0.1,cycle_co,False,100,0.7,tournament,3232,100
0.1,cycle_co,False,100,0.7,rank,2907,100
0.1,cycle_co,False,100,0.9,tournament,3084,100
0.1,cycle_co,False,100,0.9,rank,3048,100
0.1,cycle_co,False,400,0.1,tournament,2891,100
0.1,cycle_co,False,400,0.1,rank,2009,100
0.1,cycle_co,False,400,0.3,tournament,3079,100
0.1,cycle_co,False,400,0.3,rank,2781,100
0.1,cycle_co,False,400,0.5,tournament,3070,100
0.1,cycle_co,False,400,0.5,rank,2984,100
0.1,cycle_co,False,400,0.7,tournament,2828,100
0.1,cycle_co,False,400,0.7,rank,3110,100
0.1,cycle_co,False,400,0.9,tournament,3196,100
0.1,cycle_co,False,400,0.9,rank,2976,100
0.1,cycle_co,False,700,0.1,tournament,2793,100
0.1,cycle_co,False,700,0.1,rank,1782,100
0.1,cycle_co,False,700,0.3,tournament,2792,100
0.1,cycle_co,False,700,0.3,rank,2758,100
0.1,cycle_co,False,700,0.5,tournament,3081,100
0.1,cycle_co,False,700,0.5,rank,2921,100
0.1,cycle_co,False,700,0.7,tournament,3099,100
0.1,cycle_co,False,700,0.7,rank,2984,100
0.1,cycle_co,False,700,0.9,tournament,3132,100
0.1,cycle_co,False,700,0.9,rank,2964,100
0.1,cycle_co,False,1000,0.1,tournament,2720,100
0.1,cycle_co,False,1000,0.1,rank,1989,100
0.1,cycle_co,False,1000,0.3,tournament,2972,100
0.1,cycle_co,False,1000,0.3,rank,2763,100
0.1,cycle_co,False,1000,0.5,tournament,3358,100
0.1,cycle_co,False,1000,0.5,rank,2934,100
0.1,cycle_co,False,1000,0.7,tournament,2951,100
0.1,cycle_co,False,1000,0.7,rank,3004,100
0.1,cycle_co,False,1000,0.9,tournament,3106,100
0.1,cycle_co,False,1000,0.9,rank,3026,100
0.1,pmx_co,True,100,0.1,tournament,2533,100
0.1,pmx_co,True,100,0.1,rank,2104,100
0.1,pmx_co,True,100,0.3,tournament,2104,100
0.1,pmx_co,True,100,0.3,rank,2104,100
0.1,pmx_co,True,100,0.5,tournament,2104,100
0.1,pmx_co,True,100,0.5,rank,2104,100
0.1,pmx_co,True,100,0.7,tournament,2104,100
0.1,pmx_co,True,100,0.7,rank,2104,100
0.1,pmx_co,True,100,0.9,tournament,2104,100
0.1,pmx_co,True,100,0.9,rank,2104,100
0.1,pmx_co,True,400,0.1,tournament,2104,100
0.1,pmx_co,True,400,0.1,rank,1681,100
0.1,pmx_co,True,400,0.3,tournament,1681,100
0.1,pmx_co,True,400,0.3,rank,1681,100
0.1,pmx_co,True,400,0.5,tournament,1681,100
0.1,pmx_co,True,400,0.5,rank,1681,100
0.1,pmx_co,True,400,0.7,tournament,1681,100
0.1,pmx_co,True,400,0.7,rank,1681,100
0.1,pmx_co,True,400,0.9,tournament,1681,100
0.1,pmx_co,True,400,0.9,rank,1681,100
0.1,pmx_co,True,700,0.1,tournament,1681,100
0.1,pmx_co,True,700,0.1,rank,1681,100
0.1,pmx_co,True,700,0.3,tournament,1681,100
0.1,pmx_co,True,700,0.3,rank,1681,100
0.1,pmx_co,True,700,0.5,tournament,1681,100
0.1,pmx_co,True,700,0.5,rank,1681,100
0.1,pmx_co,True,700,0.7,tournament,1681,100
0.1,pmx_co,True,700,0.7,rank,1681,100
0.1,pmx_co,True,700,0.9,tournament,1681,100
0.1,pmx_co,True,700,0.9,rank,1681,100
0.1,pmx_co,True,1000,0.1,tournament,1681,100
0.1,pmx_co,True,1000,0.1,rank,1681,100
0.1,pmx_co,True,1000,0.3,tournament,1681,100
0.1,pmx_co,True,1000,0.3,rank,1681,100
0.1,pmx_co,True,1000,0.5,tournament,1681,100
0.1,pmx_co,True,1000,0.5,rank,1681,100
0.1,pmx_co,True,1000,0.7,tournament,1681,100
0.1,pmx_co,True,1000,0.7,rank,1681,100
0.1,pmx_co,True,1000,0.9,tournament,1681,100
0.1,pmx_co,True,1000,0.9,rank,1681,100
0.1,pmx_co,False,100,0.1,tournament,3043,100
0.1,pmx_co,False,100,0.1,rank,2357,100
0.1,pmx_co,False,100,0.3,tournament,3067,100
0.1,pmx_co,False,100,0.3,rank,2837,100
0.1,pmx_co,False,100,0.5,tournament,3107,100
0.1,pmx_co,False,100,0.5,rank,2992,100
0.1,pmx_co,False,100,0.7,tournament,3048,100
0.1,pmx_co,False,100,0.7,rank,3118,100
0.1,pmx_co,False,100,0.9,tournament,3169,100
0.1,pmx_co,False,100,0.9,rank,3042,100
0.1,pmx_co,False,400,0.1,tournament,2873,100
0.1,pmx_co,False,400,0.1,rank,2286,100
0.1,pmx_co,False,400,0.3,tournament,2936,100
0.1,pmx_co,False,400,0.3,rank,2681,100
0.1,pmx_co,False,400,0.5,tournament,3026,100
0.1,pmx_co,False,400,0.5,rank,2889,100
0.1,pmx_co,False,400,0.7,tournament,2993,100
0.1,pmx_co,False,400,0.7,rank,3000,100
0.1,pmx_co,False,400,0.9,tournament,3133,100
0.1,pmx_co,False,400,0.9,rank,3020,100
0.1,pmx_co,False,700,0.1,tournament,2627,100
0.1,pmx_co,False,700,0.1,rank,1876,100
